getID,getDtDef,getIsFirstClassConcept,getIsSpecialCase,getMsItemKindString,getInheritedDtDef,getInheritedMsItemKindString(),
1773,accelerate,true,false,xs:attribute,yes-no,xs:simpleType,
1776,beats,true,false,xs:attribute,trill-beats,xs:simpleType,
1779,first-beat,true,false,xs:attribute,percent,xs:simpleType,
1782,last-beat,true,false,xs:attribute,percent,xs:simpleType,
1789,bezier-offset,true,false,xs:attribute,divisions,xs:simpleType,
1792,bezier-offset2,true,false,xs:attribute,divisions,xs:simpleType,
1795,bezier-x,true,false,xs:attribute,tenths,xs:simpleType,
1798,bezier-y,true,false,xs:attribute,tenths,xs:simpleType,
1801,bezier-x2,true,false,xs:attribute,tenths,xs:simpleType,
1804,bezier-y2,true,false,xs:attribute,tenths,xs:simpleType,
1811,color,true,false,xs:attribute,color,xs:simpleType,
1818,dash-length,true,false,xs:attribute,tenths,xs:simpleType,
1821,space-length,true,false,xs:attribute,tenths,xs:simpleType,
1828,directive,true,false,xs:attribute,yes-no,xs:simpleType,
1835,version,true,false,xs:attribute,xs:token,xs:simpleType,
1843,enclosure,true,false,xs:attribute,enclosure-shape,xs:simpleType,
1850,font-family,true,false,xs:attribute,comma-separated-text,xs:simpleType,
1853,font-style,true,false,xs:attribute,font-style,xs:simpleType,
1856,font-size,true,false,xs:attribute,font-size,xs:simpleType,
1859,font-weight,true,false,xs:attribute,font-weight,xs:simpleType,
1866,halign,true,false,xs:attribute,left-center-right,xs:simpleType,
1873,justify,true,false,xs:attribute,left-center-right,xs:simpleType,
1880,letter-spacing,true,false,xs:attribute,number-or-normal,xs:simpleType,
1887,parentheses,true,false,xs:attribute,yes-no,xs:simpleType,
1890,bracket,true,false,xs:attribute,yes-no,xs:simpleType,
1893,size,true,false,xs:attribute,symbol-size,xs:simpleType,
1900,line-height,true,false,xs:attribute,number-or-normal,xs:simpleType,
1907,line-shape,true,false,xs:attribute,line-shape,xs:simpleType,
1914,line-type,true,false,xs:attribute,line-type,xs:simpleType,
1921,orientation,true,false,xs:attribute,over-under,xs:simpleType,
1928,placement,true,false,xs:attribute,above-below,xs:simpleType,
1935,default-x,true,false,xs:attribute,tenths,xs:simpleType,
1938,default-y,true,false,xs:attribute,tenths,xs:simpleType,
1941,relative-x,true,false,xs:attribute,tenths,xs:simpleType,
1944,relative-y,true,false,xs:attribute,tenths,xs:simpleType,
